(NewYork: Brown; Boston: Brown=3)
(Buffalo: Brown; NewYork: Brown=8)
(Detroit: Brown; Buffalo: Brown=7)
(Pittsburgh: Brown; Buffalo: Brown=7)
(Pittsburgh: Brown; Detroit: Brown=6)
(WashingtonDC: Brown; Pittsburgh: Brown=6)
(Philadelphia: Brown; NewYork: Brown=0)
(Philadelphia: Brown; WashingtonDC: Brown=3)
(Norfolk: Green; WashingtonDC: Brown=5)
(Raleigh: Green; Pittsburgh: Brown=7)
(Raleigh: Green; Norfolk: Green=3)
(Atlanta: Green; Raleigh: Green=7)
(Savannah: Green; Raleigh: Green=7)
(Savannah: Green; Atlanta: Green=7)
(Jacksonville: Green; Savannah: Green=0)
(Tampa: Green; Jacksonville: Green=4)
(Miami: Green; Tampa: Green=4)
(NewOrleans: Red; Jacksonville: Green=16)
(NewOrleans: Red; Houston: Red=8)
(Birmincham: Red; Atlanta: Green=3)
(Birmincham: Red; Jacksonville: Green=9)
(Birmincham: Red; NewOrleans: Red=11)
(Dallas: Red; Houston: Red=5)
(Dallas: Red; NewOrleans: Red=12)
(Memphis: Red; NewOrleans: Red=7)
(Memphis: Red; Birmincham: Red=6)
(Memphis: Red; Dallas: Red=12)
(OklahomaCity: Red; Dallas: Red=3)
(OklahomaCity: Red; Memphis: Red=14)
(KansasCity: Red; Memphis: Red=12)
(KansasCity: Red; OklahomaCity: Red=8)
(Santa: Blue; Houston: Red=21)
(Santa: Blue; Dallas: Red=16)
(Santa: Blue; OklahomaCity: Red=15)
(Santa: Blue; KansasCity: Red=16)
(Phoenix: Blue; Santa: Blue=18)
(SanDiego: Blue; Phoenix: Blue=14)
(LosAngeles: Blue; SanDiego: Blue=3)
(LasVegas: Blue; Santa: Blue=27)
(LasVegas: Blue; Phoenix: Blue=15)
(LasVegas: Blue; SanDiego: Blue=9)
(SaltLakeCity: Blue; Santa: Blue=28)
(SaltLakeCity: Blue; LasVegas: Blue=18)
(SanFrancisco: Blue; LosAngeles: Blue=9)
(SanFrancisco: Blue; LasVegas: Blue=9)
(SanFrancisco: Blue; SaltLakeCity: Blue=27)
(Omaha: Purple; KansasCity: Red=5)
(Denver: Purple; KansasCity: Red=16)
(Denver: Purple; Santa: Blue=13)
(Denver: Purple; SaltLakeCity: Blue=21)
(Cheyenne: Purple; Omaha: Purple=14)
(Cheyenne: Purple; Denver: Purple=0)
(Billings: Purple; Cheyenne: Purple=9)
(Boise: Purple; SaltLakeCity: Blue=8)
(Boise: Purple; SanFrancisco: Blue=23)
(Boise: Purple; Cheyenne: Purple=24)
(Boise: Purple; Billings: Purple=12)
(Portland: Purple; SanFrancisco: Blue=24)
(Portland: Purple; Boise: Purple=13)
(Seattle: Purple; Billings: Purple=9)
(Seattle: Purple; Boise: Purple=12)
(Seattle: Purple; Portland: Purple=3)
(Fargo: Yellow; Billings: Purple=17)
(Minneapolis: Yellow; Omaha: Purple=8)
(Minneapolis: Yellow; Cheyenne: Purple=18)
(Minneapolis: Yellow; Billings: Purple=18)
(Minneapolis: Yellow; Fargo: Yellow=6)
(Chicago: Yellow; Detroit: Brown=7)
(Chicago: Yellow; KansasCity: Red=8)
(Chicago: Yellow; Omaha: Purple=13)
(Chicago: Yellow; Minneapolis: Yellow=8)
(STLouis: Yellow; Atlanta: Green=12)
(STLouis: Yellow; Memphis: Red=7)
(STLouis: Yellow; KansasCity: Red=6)
(STLouis: Yellow; Chicago: Yellow=10)
(Knoxville: Yellow; Atlanta: Green=5)
(Cincinnati: Yellow; Detroit: Brown=4)
(Cincinnati: Yellow; Pittsburgh: Brown=7)
(Cincinnati: Yellow; Raleigh: Green=15)
(Cincinnati: Yellow; Chicago: Yellow=7)
(Cincinnati: Yellow; STLouis: Yellow=12)
(Cincinnati: Yellow; Knoxville: Yellow=6)
(Duluth: Yellow; Detroit: Brown=15)
(Duluth: Yellow; Fargo: Yellow=6)
(Duluth: Yellow; Minneapolis: Yellow=5)
(Duluth: Yellow; Chicago: Yellow=12)
